time,id,x,y,speed,headway,leader_id,target_accel_with_noise_with_failsafe,target_accel_no_noise_no_failsafe,target_accel_with_noise_no_failsafe,target_accel_no_noise_with_failsafe,realized_accel,road_grade,edge_id,lane_number,distance,relative_position,follower_id,leader_rel_speed
0,human_0,36.64,-1.6,0.0,3.9290653026659506,human_1,,,,,0,0,bottom,0,0.0,0.0,human_21,0.0
0,human_1,45.85561737377478,-0.4548035298836733,0.0,6.5440431416911515,human_2,,,,,0,0,bottom,0,0.0,8.92906530266595,human_0,0.0
0,human_2,56.88413896537893,4.237031429239038,0.0,6.817256909887277,human_3,,,,,0,0,bottom,0,0.0,20.473108444357102,human_1,0.0
0,human_3,66.0997067368989,12.33147159815323,0.0,5.953927625447875,human_4,,,,,0,0,bottom,0,0.0,32.29036535424438,human_2,0.0
0,human_4,71.94615101694667,22.09216804207447,0.0,2.8708704668455383,human_5,,,,,0,0,bottom,0,0.0,43.244292979692254,human_3,0.0
0,human_5,74.22667412972893,29.95806642922481,0.0,7.1257216694364045,human_6,,,,,0,0,bottom,0,0.0,51.11516344653779,human_4,0.0
0,human_6,74.35515834319385,42.49708781066068,0.0,4.4325065262286225,human_7,,,,,0,0,right,0,0.0,5.640885115974197,human_5,0.0
0,human_7,71.61270385014268,51.91221032781291,0.0,6.322819278553718,human_8,,,,,0,0,right,0,0.0,15.07339164220282,human_6,0.0
0,human_8,65.30058425916451,61.832945875532836,0.0,4.6831966193364,human_9,,,,,0,0,right,0,0.0,26.396210920756538,human_7,0.0
0,human_9,57.714423366090415,68.4478173430109,0.0,7.9975355287614605,human_10,,,,,0,0,right,0,0.0,36.07940754009294,human_8,0.0
0,human_10,45.342381181367074,73.79679906392154,0.0,13.358323478140445,human_12,,,,,0,0,right,0,0.0,49.0769430688544,human_9,0.0
0,human_12,26.45075216754109,73.43404955766286,0.0,5.160339968733416,human_13,,,,,0,0,top,0,0.0,9.835266546994843,human_10,0.0
0,human_13,16.760748154452074,69.24244162103943,0.0,6.29007042526781,human_14,,,,,0,0,top,0,0.0,19.99560651572826,human_12,0.0
0,human_14,7.796919882949357,61.6881780434856,0.0,4.606265037967233,human_15,,,,,0,0,top,0,0.0,31.28567694099607,human_13,0.0
0,human_15,2.2845064743837025,53.36172627927305,0.0,3.888286569795696,human_16,,,,,0,0,top,0,0.0,40.8919419789633,human_14,0.0
0,human_16,-0.7423695633859126,44.62806274082077,0.0,7.028610306252006,human_17,,,,,0,0,top,0,0.0,49.780228548759,human_15,0.0
0,human_17,-1.339775565638682,32.201710769514555,0.0,9.004924167092653,human_18,,,,,0,0,left,0,0.0,4.208838855011003,human_16,0.0
0,human_18,3.04900919398502,18.369239983946247,0.0,4.539304969060861,human_19,,,,,0,0,left,0,0.0,18.213763022103656,human_17,0.0
0,human_19,8.868926666963013,10.33848423044439,0.0,3.9823991810415897,human_20,,,,,0,0,left,0,0.0,27.753067991164517,human_18,0.0
0,human_20,16.07878212483683,4.398932569873691,0.0,5.865849005256557,human_21,,,,,0,0,left,0,0.0,36.73546717220611,human_19,0.0
0,human_21,26.386814984818184,-0.19720124599938565,0.0,4.998683822537338,human_0,,,,,0,0,left,0,0.0,47.601316177462664,human_20,0.0
